model,A1_recall,A1_f2,A2_accuracy,B1_accuracy,B1_macro_f1,B2_accuracy,B2_jaccard,C1_missing_information_accuracy,C1_macro_f1,C2_accuracy,C3_jaccard,S_A,S_B,S_C,S_overall
claude-sonnet-4-5-20250929,66.27,45.71,14.90,65.96,66.30,35.80,72.43,65.26,60.83,66.67,86.11,35.45,60.12,71.94,55.84
deepseek-r1,81.34,51.30,15.58,70.21,73.10,31.80,70.20,50.53,48.60,53.33,49.44,40.95,61.33,50.78,51.02
deepseek-v3,76.28,48.37,15.92,68.09,70.82,33.00,70.85,65.26,57.03,60.00,84.44,39.12,60.69,68.53,56.11
gemini-2.5-pro,77.23,52.25,14.81,78.72,78.90,33.40,71.64,72.63,68.85,66.67,82.78,39.78,65.66,73.40,59.61
gemini-3-pro-preview,58.65,41.29,12.67,70.21,63.39,44.00,77.33,73.68,67.82,80.00,87.22,31.32,63.73,79.32,58.13
gpt-3.5-turbo,79.02,49.75,14.64,68.09,71.35,25.20,68.07,49.47,44.36,80.00,80.56,39.51,58.18,69.16,55.62
gpt-4-turbo,72.09,46.81,13.96,65.96,67.36,35.80,73.09,55.79,48.41,73.33,85.00,36.70,60.55,70.14,55.80
gpt-4o,73.72,47.74,14.55,63.83,66.43,33.00,71.97,56.84,46.53,53.33,83.33,37.64,58.81,62.78,53.08
gpt-4o-mini,93.24,58.66,15.33,65.96,67.93,25.40,69.86,50.53,46.80,53.33,78.89,45.64,57.29,60.29,54.41
gpt-5.2,84.76,52.92,13.78,68.09,65.85,40.00,73.84,63.16,55.98,60.00,80.56,41.31,61.95,66.71,56.65
qwen3-235b-a22b-instruct-2507,74.74,47.87,10.53,61.70,61.01,36.00,73.02,67.37,65.56,66.67,88.33,35.92,57.93,73.82,55.89
qwen3-8B,84.93,52.30,17.21,61.70,54.19,27.20,67.80,53.68,49.25,60.00,81.11,42.91,52.72,64.19,53.28
qwen3-max,69.86,47.24,14.81,68.09,66.98,35.20,72.49,71.58,68.96,66.67,68.89,36.68,60.69,68.61,55.33
qwen3-next-80b-a3b-instruct,82.02,50.68,14.38,63.83,65.24,31.20,70.53,65.26,59.70,66.67,85.00,40.36,57.70,71.38,56.48
