task,model,n_core,n_metric,metric,estimate_percent,ci95_low_percent,ci95_high_percent
B1,claude-sonnet-4-5-20250929,47,47,accuracy,65.96,53.19,78.72
B1,claude-sonnet-4-5-20250929,47,47,macro_f1,66.30,43.41,75.93
B1,deepseek-r1,47,47,accuracy,70.21,57.39,82.98
B1,deepseek-r1,47,47,macro_f1,73.10,48.86,82.56
B1,deepseek-v3,47,47,accuracy,68.09,53.19,80.85
B1,deepseek-v3,47,47,macro_f1,70.82,45.59,80.62
B1,gemini-2.5-pro,47,47,accuracy,78.72,65.96,89.36
B1,gemini-2.5-pro,47,47,macro_f1,78.90,54.76,88.22
B1,gemini-3-pro-preview,47,47,accuracy,70.21,57.45,82.98
B1,gemini-3-pro-preview,47,47,macro_f1,63.39,45.95,74.36
B1,gpt-3.5-turbo,47,47,accuracy,68.09,55.32,80.85
B1,gpt-3.5-turbo,47,47,macro_f1,71.35,46.78,81.48
B1,gpt-4-turbo,47,47,accuracy,65.96,53.19,78.72
B1,gpt-4-turbo,47,47,macro_f1,67.36,43.58,77.57
B1,gpt-4o,47,47,accuracy,63.83,51.06,76.60
B1,gpt-4o,47,47,macro_f1,66.43,42.54,76.51
B1,gpt-4o-mini,47,47,accuracy,65.96,51.06,78.72
B1,gpt-4o-mini,47,47,macro_f1,67.93,43.12,78.62
B1,gpt-5.2,47,47,accuracy,68.09,55.32,80.85
B1,gpt-5.2,47,47,macro_f1,65.85,47.09,77.56
B1,qwen3-235b-a22b-instruct-2507,47,47,accuracy,61.70,46.81,74.47
B1,qwen3-235b-a22b-instruct-2507,47,47,macro_f1,61.01,39.60,73.07
B1,qwen3-8B,47,47,accuracy,61.70,48.88,74.47
B1,qwen3-8B,47,47,macro_f1,54.19,38.95,65.11
B1,qwen3-max,47,47,accuracy,68.09,53.19,80.85
B1,qwen3-max,47,47,macro_f1,66.98,45.01,79.13
B1,qwen3-next-80b-a3b-instruct,47,47,accuracy,63.83,51.06,76.60
B1,qwen3-next-80b-a3b-instruct,47,47,macro_f1,65.24,42.17,74.95
C1,claude-sonnet-4-5-20250929,105,105,accuracy,68.57,59.05,77.14
C1,claude-sonnet-4-5-20250929,105,95,missing_information_accuracy,65.26,55.43,74.75
C1,claude-sonnet-4-5-20250929,105,105,macro_f1,60.83,50.33,65.30
C2,claude-sonnet-4-5-20250929,15,15,exact_accuracy,66.67,40.00,86.67
C3,claude-sonnet-4-5-20250929,15,15,exact_accuracy,53.33,26.67,80.00
C3,claude-sonnet-4-5-20250929,15,15,jaccard,86.11,78.33,93.89
C1,deepseek-r1,105,105,accuracy,51.43,41.90,61.90
C1,deepseek-r1,105,95,missing_information_accuracy,50.53,40.66,60.92
C1,deepseek-r1,105,105,macro_f1,48.60,38.49,55.36
C2,deepseek-r1,15,15,exact_accuracy,53.33,26.67,80.00
C3,deepseek-r1,15,15,exact_accuracy,20.00,0.00,40.00
C3,deepseek-r1,15,15,jaccard,49.44,30.00,68.89
C1,deepseek-v3,105,105,accuracy,66.67,58.10,75.24
C1,deepseek-v3,105,95,missing_information_accuracy,65.26,55.79,74.74
C1,deepseek-v3,105,105,macro_f1,57.03,47.63,63.32
C2,deepseek-v3,15,15,exact_accuracy,60.00,33.33,86.67
C3,deepseek-v3,15,15,exact_accuracy,53.33,26.67,80.00
C3,deepseek-v3,15,15,jaccard,84.44,75.56,92.78
C1,gemini-2.5-pro,105,105,accuracy,75.24,66.67,82.86
C1,gemini-2.5-pro,105,95,missing_information_accuracy,72.63,63.00,81.11
C1,gemini-2.5-pro,105,105,macro_f1,68.85,57.80,73.91
C2,gemini-2.5-pro,15,15,exact_accuracy,66.67,40.00,86.67
