model,task,n,metric,estimate,ci95_low,ci95_high
claude-sonnet-4-5-20250929,fault_testset,105,accuracy,0.6857142857142857,0.5904761904761905,0.7714285714285715
claude-sonnet-4-5-20250929,fault_testset,105,missing_information_accuracy,0.6526315789473685,0.5543189176688251,0.7474771991762283
claude-sonnet-4-5-20250929,fault_testset,105,macro_f1,0.6082721550158526,0.5033480185076868,0.6530183587562789
claude-sonnet-4-5-20250929,fault_exclude,15,exact_accuracy,0.6666666666666666,0.4,0.8666666666666667
claude-sonnet-4-5-20250929,fault_reason,15,exact_accuracy,0.5333333333333333,0.26666666666666666,0.8
claude-sonnet-4-5-20250929,fault_reason,15,jaccard,0.8611111111111112,0.7833333333333333,0.9388888888888888
deepseek-r1,fault_testset,105,accuracy,0.5142857142857142,0.41904761904761906,0.6190476190476191
deepseek-r1,fault_testset,105,missing_information_accuracy,0.5052631578947369,0.40658482142857144,0.6092155172413792
deepseek-r1,fault_testset,105,macro_f1,0.48598578320216973,0.38489458301606944,0.5536204387266818
deepseek-r1,fault_exclude,15,exact_accuracy,0.5333333333333333,0.26666666666666666,0.8
deepseek-r1,fault_reason,15,exact_accuracy,0.2,0.0,0.4
deepseek-r1,fault_reason,15,jaccard,0.4944444444444444,0.3,0.6888888888888888
deepseek-v3,fault_testset,105,accuracy,0.6666666666666666,0.580952380952381,0.7523809523809524
deepseek-v3,fault_testset,105,missing_information_accuracy,0.6526315789473685,0.5578947368421052,0.7473684210526316
deepseek-v3,fault_testset,105,macro_f1,0.5703484472632406,0.47626109534722977,0.6332033680305991
deepseek-v3,fault_exclude,15,exact_accuracy,0.6,0.3333333333333333,0.8666666666666667
deepseek-v3,fault_reason,15,exact_accuracy,0.5333333333333333,0.26666666666666666,0.8
deepseek-v3,fault_reason,15,jaccard,0.8444444444444446,0.7555555555555554,0.9277777777777777
gemini-2.5-pro,fault_testset,105,accuracy,0.7523809523809524,0.6666666666666666,0.8285714285714286
gemini-2.5-pro,fault_testset,105,missing_information_accuracy,0.7263157894736842,0.63,0.8111111111111111
gemini-2.5-pro,fault_testset,105,macro_f1,0.6885479880302129,0.5779723695858462,0.7391499766743501
gemini-2.5-pro,fault_exclude,15,exact_accuracy,0.6666666666666666,0.4,0.8666666666666667
gemini-2.5-pro,fault_reason,15,exact_accuracy,0.5333333333333333,0.3333333333333333,0.8
gemini-2.5-pro,fault_reason,15,jaccard,0.8277777777777778,0.7277777777777777,0.9222222222222222
gemini-3-pro-preview,fault_testset,105,accuracy,0.7523809523809524,0.6666666666666666,0.8285714285714286
gemini-3-pro-preview,fault_testset,105,missing_information_accuracy,0.7368421052631579,0.6458333333333334,0.8229166666666666
gemini-3-pro-preview,fault_testset,105,macro_f1,0.6782287887551046,0.5687946185339123,0.730146649229319
gemini-3-pro-preview,fault_exclude,15,exact_accuracy,0.8,0.6,1.0
gemini-3-pro-preview,fault_reason,15,exact_accuracy,0.6,0.3333333333333333,0.8666666666666667
gemini-3-pro-preview,fault_reason,15,jaccard,0.8722222222222221,0.7833333333333332,0.95
gpt-3.5-turbo,fault_testset,105,accuracy,0.5238095238095238,0.42857142857142855,0.6190476190476191
gpt-3.5-turbo,fault_testset,105,missing_information_accuracy,0.49473684210526314,0.39603960396039606,0.59375
